Title,ProductID,LowPrice,HighPrice
[5.5 2022MALL55ลด1000]LENOVO Notebook IdeaPad D330 -10IGL- 82H0000NTA–N4020/4GB/128GB,11881550211,9900.00,9900.00
Dell Laptop E6420 Brand New 14.1inch intel Corei5/i7 256G/512G SSD HD Screen Student Office Gaming Laptop Notebook,12787753364,9999.00,11999.00
BMAX MaxBook Y13 2-in-1 laptop หมุน 360 Yoga องศา จอ 13.3 นิ้ว Multi-touch Ultrabook Windows 10 Pro Quad-Core 8GB+256GB,7458536018,13290.00,13290.00
[Laptop] Microsoft Surface GO 3 i3/8/128 Black+Type Cover,14241012776,24690.00,26490.00
โน๊ตบุ๊ค แท็บเล็ต Lenovo MiiX-320 / RAM 2GB + SSD 64GB + WiFi + Bluetooth สภาพดีมีประกัน by คอมถูกจริง,10390970954,3490.00,3490.00
โน๊ตบุ๊ค Hp 6560b Core i5 Ram 4gb HDD 320gb ฟรีกระเป๋า+เม้า,2459214751,5990.00,5990.00
โน๊ตบุ๊คมือสองพร้อมใช้งาน สภาพดี,6537654637,3790.00,4990.00
"โน๊ตบุ๊ค Notebook Toshiba Core i5 Ram 8 GB (ROV, PUBG Lite, Freefire, Sim4, PB, SF ทดสอบแล้วเล่นได้ครับ)",11975449636,4990.00,4990.00
Dell Laptop E6420 Brand New 14.1inch intel Corei5/i7 256G/512G SSD HD Screen Student Office Gaming Laptop Notebook,12787753364,9999.00,11999.00
โน๊ตบุ๊ค HP EliteBook 725 G3 / RAM 8 GB / HDD 500 GB / Webcam / SD Card / USB / WiFi / Bluetooth สภาพดี By comdee2you,14261448292,5990.00,5990.00
โน๊ตบุ๊คราคถูก laptop new 2022 เล่นเกมแรงๆ คอมพิวเตอร์แรง 14\ IPS 1920x1080 Intel Celeron โปรแกรมภาษาไทย คอมเล่นเกมถูกๆ,11077721705,8999.00,15999.00
DELL I5 GEN 7     แรม 8 GB โน๊ตบุคมือสอง ตัวบาง  Latitude  3480,14342590377,8400.00,9400.00
หัวเว่ยโน๊ตบุ๊ค HUAWEI MateBook D15 [Intel® Core™ i3-10110U Ram 8 GB DDR4/SSD256GB ] รับประกัน 1 ปี Huawei Thailand,11214240628,14990.00,14990.00
โน๊ตบุ๊ค/แท็บเล็ต 2-in-1 Dell Latitude 3190 / RAM 4 GB / 64+128GB / Webcam / Wifi / Bluetooth / ของใหม่ By Comdee2you,12228824281,8990.00,9990.00
พร้อมส่ง! HP Notebook 15S-GR0511AU (15.6” FHD /Athlon-3150U/Ram 4 GB/256 SSD/UMA/W 10 Home/ประกันศูนย์ HP 2 ปี) โน้ตบุ๊ค,14248660721,12890.00,12890.00
